english	spanish	accepted_es	accepted_en	split
i dont love her	no la amo	no la amo	i dont love her	train
youre more than welcome	eres más que bienvenido	eres más que bienvenido	youre more than welcome	train
its my life	es mi vida	es mi vida	its my life	train
the night was cold	la noche era fría	la noche era fría|la noche estaba fría	the night was cold	train
they saw you	te vieron	ellos te vieron|te vieron	they saw you	train
all is well	todo está bien	todo está bien|todo está correcto|todo va bien	all is well|everything is all right|everything is fine|everything is ok|everythings fine|its all ok|its all right	train
everyone dreams	todos tenemos sueños	todos tenemos sueños	everyone dreams	train
this is a lie	esto es mentira	esto es mentira	this is a lie	train
he let me go	dejó que me fuera	dejó que me fuera|me dejó ir	he let me go	train
we did our homework	hicimos nuestros deberes	hicimos nuestros deberes	we did our homework	train
you are rich	eres rico	eres rico	you are rich|youre rich	train
nobody asked me anything	nadie me pidió nada	nadie me pidió nada	nobody asked me anything	train
please say something	por favor di algo	por favor di algo	please say something	train
i dont want meat	no quiero carne	no quiero carne	i dont want meat	train
i see them now	ya los veo	ya los veo	i see them now	train
you cannot swim here	no puede nadar aquí	no puede nadar aquí	you cannot swim here|you cant swim here	train
dont be a baby	no seas niño	no seas niña|no seas niño	dont be a baby	train
as you already know	como ya sabés	como ya sabés	as you already know	train
he is not in	no está	no está|no está aquí|él no está dentro	he is not in|hes not in	train
i was a teacher	yo era profesor	yo era profesor|yo era profesora	i was a teacher	train
is he satisfied ?	¿ está satisfecho ?	¿ está satisfecho ?	is he satisfied ?	train
i hate everything !	¡ odio todo !	¡ odio todo !	i hate everything !	train
the father is good	el padre es bueno	el padre es bueno	the father is good	train
he abandoned the plan	él renunció al plan	él abandonó el plan|él renunció al plan	he abandoned the plan	train
i asked him	yo le pregunté	yo le pregunté	i asked him	train
stay away from me	estate lejos de mí	estate lejos de mí	keep away from me|stay away from me	train
i couldnt speak japanese	no pude hablar japonés	no pude hablar japonés	i couldnt speak japanese	train
hes stupid	él es estúpido	él es estúpido	hes stupid	train
i think youre jealous	creo que estás celoso	creo que estás celoso	i think youre jealous	train
tom was alone	tom estaba solo	tom estaba solo	tom was alone	train
i appreciate the help	agradezco la ayuda	agradezco la ayuda|aprecio la ayuda	i appreciate the help	train
lets eat	comamos	comamos	lets eat|lets eat lunch	train
now its my turn	ahora es mi turno	ahora es mi turno	its now my turn|now its my turn	train
tom looks surprised	tom parece sorprendido	tom parece sorprendido	tom looks surprised	train
he looks tired	parece estar cansado	parece estar cansado	he looks tired|he seems tired	train
someone called tom	alguien llamó a tom	alguien llamó a tom	someone called tom	train
i like tennis	me gusta el tenis	me gusta el tenis	i like tennis	train
i want more	quiero más	quiero más	i want more	train
they left without me	se fueron sin mí	se fueron sin mí	they left without me	train
were here to talk	estamos aquí para hablar	estamos aquí para hablar	were here to talk	train
im ready !	¡ estoy listo !	¡ estoy lista !|¡ estoy listo !	im ready !	train
the weather is good	hace buen tiempo	hace buen tiempo	its beautiful out|its nice|the weather is good	train
thanks again	gracias otra vez	gracias otra vez|¡ gracias nuevamente !	thanks again	train
somebody stole my car	alguien robó mi auto	alguien robó mi auto	somebody stole my car	train
god did it	dios lo hizo	dios lo hizo	god did it	train
can you see ?	¿ puedes ver ?	¿ podéis ver ?|¿ puedes ver ?	can you see ?	train
i can do more	yo puedo hacer más	yo puedo hacer más	i can do more	train
tom is very dangerous	tom es muy peligroso	tom es muy peligroso	tom is very dangerous	train
yes of course	claro que si	claro que si|sí claro	yes of course	train
were cold	tenemos frío	tenemos frío	were cold	train
theyre going	se van	ellas van a irse|ellos van a ir|se van	theyre going	train
they need friends	ellos necesitan amigos	ellos necesitan amigos	they need friends	train
its too late now	es muy tarde ahora	es muy tarde ahora	its too late now	train
everything is ready	todo está preparado	todo está listo|todo está preparado	everything is ready	train
are you chinese ?	¿ sos chino ?	¿ eres chino ?|¿ sos chino ?	are you chinese ?	train
i hope im wrong	espero estar equivocada	espero estar equivocada	i hope im wrong	train
no im not thirsty	no no tengo sed	no no tengo sed	no im not thirsty	train
youve done that already	ya lo hiciste	ya lo hiciste	youve done that already	train
we know that	lo conocemos	lo conocemos|lo sabemos|sabemos eso	we know him|we know that|we know this	train
someones calling	alguien está llamando	alguien está llamando	someones calling	train
tom will come back	tom va a volver	tom va a volver	tom will come back	train
let me die !	¡ déjame morir !	¡ déjame morir !	let me die !	train
she understood me	ella me entendió	ella me entendió	she understood me	train
its toms idea	es idea de tom	es idea de tom	its toms idea	train
she looked at me	ella me miró	ella me miró|me miró	she looked at me	train
lets get started	comencemos	comencemos|vamos a empezar|¡ empecemos !	let us begin|lets begin|lets get started|lets start|lets start !	train
im not pregnant	no estoy embarazada	no estoy embarazada	im not pregnant	train
she needs our help	necesita nuestra ayuda	necesita nuestra ayuda	she needs our help	train
you have won	has ganado	has ganado	you have won|you won	train
ill never come back	nunca más volveré	nunca más volveré	ill never come back	train
im cooking	estoy cocinando	estoy cocinando	im cooking	train
good question !	buena pregunta	buena pregunta	a good question|good question !	train
i am a cat	soy un gato	soy un gato	i am a cat|im a cat	train
come here soon	vente pronto	ven pronto|ven pronto aquí|vente pronto	come here soon	train
can you help ?	¿ puedes ayudar ?	¿ puedes ayudar ?	can you help ?	train
he has little money	él tiene poco dinero	tiene poco dinero|él tiene poco dinero	he has little money	train
i didnt ask	yo no pregunté	yo no pregunté	i didnt ask	train
its not midnight yet	aún no es medianoche	aún no es medianoche	its not midnight yet	train
tom believes mary	tom cree a mary	tom cree a mary	tom believes mary	train
we like our house	nos gusta nuestra casa	nos gusta nuestra casa	we like our house	train
tom is ok now	tom está bien ahora	tom está bien ahora	tom is ok now	train
tom wasnt invited	tom no estaba invitado	tom no estaba invitado	tom wasnt invited	train
im not your enemy	no soy tu enemigo	no soy tu enemigo	im not your enemy	train
he did it himself	lo hizo él mismo	lo hizo él mismo	he did it himself|he himself did it	train
today isnt monday	hoy no es lunes	hoy no es lunes	today isnt monday	train
let me see it	déjame verlo	a ver|déjame verlo	let me see it	train
hi friend !	¡ hola amigo !	¡ hola amigo !	hi friend !	train
let him go	deja que se vaya	deja que se vaya	let him go	train
i want the book	quiero el libro	quiero el libro	i want the book	train
she is already married	ella ya está casada	ella ya está casada	she is already married	train
yes you must	sí debes	sí debes	yes you must	train
tom needed us	tom nos necesitaba	tom nos necesitaba	tom needed us	train
its my only chance	es mi única oportunidad	es mi única oportunidad	its my only chance	train
its finally over	finalmente se acabó	finalmente se acabó	its finally over	train
ill make some tea	haré algo de té	haré algo de té	ill make some tea	train
im very sleepy now	ahora tengo mucho sueño	ahora tengo mucho sueño	im very sleepy now	train
are you joking ?	¿ estás bromeando ?	¿ estás bromeando ?	are you joking ?|are you kidding ?	train
id like to learn	me gustaría aprender	me gustaría aprender	id like to learn	train
leave the room	sal de la habitación	sal de la habitación	leave the room	train
i have many friends	tengo muchos amigos	tengo muchos amigos	i have many friends	train
she needs you	ella te necesita	ella te necesita	she needs you	train
everythings free	todo es gratis	todo es gratis	everythings free	train
weve all done it	todos lo hemos hecho	todos lo hemos hecho	weve all done it	train
it looks great	se ve estupendo	se ve estupendo	it looks great	train
that isnt my problem	no es mi problema	no es mi problema	not my problem|that isnt my problem	train
ive seen this before	he visto esto antes	he visto esto antes	ive seen this before	train
these are my students	éstos son mis estudiantes	éstos son mis estudiantes	these are my students	train
tony is playing	tony está jugando	tony está jugando	tony is playing	train
stop crying already	ya deja de llorar	ya deja de llorar	stop crying already	train
do it yourself	hazlo tú mismo	hazlo tú mismo	do it yourself	train
look for it	busca	busca	look|look for her|look for him|look for it	train
she has changed	ella ha cambiado	ella ha cambiado	she has changed|shes changed	train
thatll do	eso me vale	con eso vale|eso me vale	thatll do	train
he needs some milk	necesita leche	necesita leche	he needs some milk	train
this wine tastes great	este vino sabe estupendo	este vino sabe estupendo	this wine tastes great	train
tom closed his mouth	tom cerró la boca	tom cerró la boca	tom closed his mouth|tom shut his mouth	train
we have to go	tenemos que irnos	tenemos que irnos	we have to go	train
its too complicated	es demasiado complicado	es demasiado complicado	its too complicated	train
i saw her again	la vi nuevamente	la vi nuevamente|la volví a ver	i saw her again	train
hes a good person	es una buena persona	es una buena persona	hes a good person|shes a good person	train
i want this	quiero esto	quiero este|quiero esto	i want this	train
you should stop that	deberías dejar eso	deberías dejar eso|deberías parar eso	you should stop that	train
im ugly	soy feo	soy fea|soy feo	im ugly	train
here comes the train	aquí viene el tren	aquí viene el tren	here comes the train	train
toms busy	tom está ocupado	tom está ocupado	tom is busy|toms busy	train
youre sick !	¡ estás enfermo !	¡ estás enfermo !	youre sick !	train
theyre new	son nuevos	son nuevos	theyre new	train
im always very nervous	siempre estoy muy nervioso	siempre estoy muy nervioso	im always very nervous	train
they went there	ellos fueron ahí	ellos fueron ahí	they went there	train
we can try	podemos intentarlo	podemos intentarlo	we can try	train
remember !	¡ recuerda !	¡ recuerda !	remember !	train
ill take it	lo tomo	lo tomo	i take him|i take it|ill take him|ill take it	train
its ten oclock	son las diez	son las diez	its ten oclock	train
hes swimming now	él está nadando ahora	él está nadando ahora	hes swimming now	train
theyve gone crazy	se han vuelto locos	se han vuelto locos	theyve gone crazy	train
does everybody understand ?	¿ todos entienden ?	¿ todos entienden ?	does everybody understand ?	train
he was patient	él era paciente	él era paciente	he was patient	train
theyre our friends	son nuestros amigos	son nuestros amigos	theyre our friends	train
you have been busy	usted ha estado ocupado	habéis estado ocupados|has estado ocupado|usted ha estado ocupado|ustedes han estado ocupados	you have been busy	train
it has been wonderful	ha sido maravilloso	ha sido maravilloso	it has been wonderful	train
he deserves more	él merece más	él merece más	he deserves more	train
we worked with tom	trabajamos con tom	trabajamos con tom	we worked with tom	train
watch out !	¡ cuidado !	¡ cuidado !	careful !|watch out !	train
tell him to stop	dile que pare	dile que pare	tell him to stop	train
its a fish	es un pez	es un pescado|es un pez	its a fish	train
ill pay anything	pagaré cualquier cosa	pagaré cualquier cosa	ill pay anything	train
it wasnt real	no fue real	no fue real	it wasnt real	train
i feel cold	tengo frío	tengo frío	i am cold|i feel cold|im cold	train
is she married ?	¿ está casada ?	¿ está casada ?	is she married ?	train
sorry for being late	perdona por llegar tarde	perdona por llegar tarde	sorry for being late	train
you can have mine	puedes tener el mío	puedes tener el mío	you can have mine	train
this is the boy	este es el niño	este es el muchacho|este es el niño	this is the boy	train
lets turn back	volvamos	volvamos	lets come back|lets go back|lets turn back	train
i cannot help you	no puedo ayudarte	no puedo ayudarte	i cannot help you|i cant help you	train
this is my car	éste es mi auto	este es mi coche|éste es mi auto|éste es mi coche	this is my car	train
theyre not there	no están allí	no están allí	they arent there|theyre not there	train
theres no food left	no quedó comida	no queda comida|no quedó comida	theres no food left	train
you as well child	tú también niño	tú también niño	you as well child	train
im your best friend	soy tu mejor amigo	soy tu mejor amigo	im your best friend	train
thats not enough	eso no es suficiente	eso no es suficiente	that isnt enough|thats not enough|this is not enough	train
he doesnt exist	él no existe	él no existe	he doesnt exist	train
this is my house	esta es mi casa	esta es mi casa	this is my home|this is my house	train
we know this	lo conocemos	conocemos esto|lo conocemos|lo sabemos	we know him|we know that|we know this	train
im almost ready	estoy casi lista	estoy casi lista	i am almost ready|im about ready|im almost ready	train
dont lie to me	no me mientas	no me mientas	dont lie to me	train
i dont hate myself	no me odio	no me odio	i dont hate myself	train
see you !	¡ nos vemos !	¡ nos vemos !	see you !|see you later !	train
have a drink	ten un trago	ten un trago|tómate algo	have a drink	train
i ate apples	comí manzanas	comí manzanas|yo comí manzanas	i ate apples	train
i feel very cold	me siento muy helado	me siento muy helado	i feel very cold	train
toms sad	tom está triste	tom está triste	tom is sad|toms sad	train
you got the job	el trabajo es tuyo	el trabajo es tuyo	you got the job	train
tom seemed very sad	tom parecía muy triste	tom parecía muy triste	tom seemed very sad	train
its making me nervous	me está poniendo nervioso	me está poniendo nervioso	its making me nervous	train
tom is a friend	tom es un amigo	tom es un amigo	tom is a friend	train
we cant lose	no podemos perder	no podemos perder	we cant lose	train
i was lucky	tuve suerte	tuve suerte	i was lucky	train
tell me more !	¡ dime más !	¡ dime más !	tell me more !	train
children need to play	los niños necesitan jugar	los niños necesitan jugar	children need to play	train
this is for you	es para ustedes	es para ti|es para ustedes|esto es para ti	this is for you	train
i see a light	veo una luz	veo una luz	i see a light	train
hey dont forget this	hey no olvides esto	hey no olvides esto	hey dont forget this	train
is tom in ?	¿ está tom ?	¿ está tom ?	is tom here ?|is tom in ?	train
someones coming	viene alguno	alguien llega|alguno viene|viene alguien|viene alguno	someones coming	train
thats all wrong	eso está todo mal	eso está todo mal	thats all wrong	train
game over	fin del juego	fin del juego	game over	train
were out of sugar	estamos sin azúcar	estamos sin azúcar	were out of sugar	train
youll see	ya verás	ya verás	you will see|youll see	train
no one looks busy	nadie parece estar ocupado	nadie parece estar ocupado	no one looks busy	train
it hurts here	aquí duele	aquí duele|me duele aquí	it hurts here	train
be loved	sé amado	sé amado	be loved	train
was it good ?	¿ estuvo bueno ?	¿ estuvo bueno ?	was it good ?	train
walk	camina	camina	walk	train
see you	nos vemos	nos vemos	see you	train
the cat is black	el gato es negro	el gato es negro	the cat is black	train
you know why	vos sabés por qué	vos sabés por qué	you know why	train
im not interested	no me interesa	no me interesa	i am not interested|im not interested|save your breath	train
no one saw us	nadie nos vio	nadie nos vio	no one saw us	train
im fine thanks	estoy bien gracias	estoy bien gracias|yo estoy bien gracias	im fine thank you|im fine thanks	train
tom told us	tom nos dijo	tom nos dijo	tom told us	train
i dont eat	no como	no como	i dont eat	train
youre not fat	no sos gordo	no sos gordo	youre not fat	train
you seem really busy	pareces verdaderamente ocupado	pareces verdaderamente ocupado	you seem really busy	train
the book is white	el libro es blanco	el libro es blanco	the book is white|the books white	train
tom speaks slowly	tom habla lentamente	tom habla lentamente	tom speaks slowly	train
i ate an apple	comí una manzana	comí una manzana	i ate an apple	train
thats broken	eso está roto	eso está roto|eso no funciona|eso no va	thats broken	train
i love my mom	quiero a mi mamá	quiero a mi mamá	i love my mom|i want my mom	train
tom has free time	tom tiene tiempo libre	tom tiene tiempo libre	tom has free time	train
theyre all fine thanks	están todos bien gracias	están todos bien gracias	theyre all fine thanks	train
i hate these words	odio estas palabras	odio estas palabras	i hate these words	train
tom isnt dumb	tom no es estúpido	tom no es estúpido	tom isnt dumb|tom isnt stupid	train
where were you ?	¿ dónde estabas ?	¿ dónde estabas ?	where were you ?	train
his father is japanese	su padre es japonés	su padre es japonés|su papá es japonés	her father is japanese|his father is japanese|your father is japanese	train
we need the money	necesitamos el dinero	necesitamos el dinero	we need the money	train
tom said nothing	tom no dijo nada	tom no dijo nada	tom didnt say anything|tom said nothing	train
yanni felt depressed	yanni se sintió deprimido	yanni se sintió deprimido	yanni felt depressed	train
tom died young	tom murió joven	tom murió joven	tom died young	train
theres no one left	no queda nadie	no queda nadie	theres no one left	train
i remember doing that	recuerdo hacerlo	recuerdo hacer eso|recuerdo hacerlo|recuerdo haciendo eso	i remember doing that	train
youre eating	estás comiendo	estás comiendo	you are eating|youre eating	train
we dont speak french	no hablamos francés	no hablamos francés	we dont speak french	train
i didnt say anything	no dije nada	no dije nada	i didnt say anything|i said nothing	train
we arent alone	no estamos solas	no estamos solas|no estamos solos	we are not alone|we arent alone	train
i can not read	no sé leer	no sé leer	i can not read	train
tom arrived last	tom llegó el último	tom llegó el último	tom arrived last	train
i was at home	estaba en casa	estaba en casa	i was at home	train
not tonight	esta noche no	esta noche no	not tonight	train
ive found the key	he encontrado la llave	he encontrado la llave	ive found the key	train
i brought dinner	traje cena	traje cena	i brought dinner	train
tea without ice	té sin hielo	té sin hielo	tea without ice	train
he needed to rest	él necesitaba descansar	él necesitaba descansar	he needed to rest	train
im ready to fight	estoy listo para pelear	estoy listo para pelear	im ready to fight	train
youre too little	eres demasiado pequeño	eres demasiado pequeño	youre too little|youre too small	train
i understand !	¡ entiendo !	¡ entiendo !	i understand !	train
i dont need tom	no necesito a tom	no necesito a tom	i dont need tom	train
and your mom also	y tu mamá también	y tu mamá también	and your mom also	train
tom was lying	tom estaba mintiendo	tom estaba mintiendo	tom was lying	train
i forgot his name	olvidé su nombre	he olvidado su nombre|olvidé su nombre	i forget his name|i forgot her name|i forgot his name|i forgot its name	train
shes always like that	ella es siempre así	ella es siempre así	shes always like that	train
everyone knows the law	todos conocen la ley	todos conocen la ley	everyone knows the law	train
its fun	es divertido	es divertido	its fun	train
the apple is red	la manzana es roja	la manzana es roja	the apple is red	train
i dont like her	ella no me gusta	ella no me gusta	i dont like her	train
unfortunately its true	desafortunadamente es verdad	desafortunadamente es verdad	it is unfortunately true|unfortunately its true|unfortunately that is true	train
i cant leave yet	no puedo irme todavía	no puedo irme todavía	i cant leave yet	train
im crazy about you	estoy loco por ti	estoy loco por ti	im crazy about you	train
i will sue you	le voy a demandar	le voy a demandar	i will sue you|ill sue you	train
it is my mouth	es mi boca	es mi boca	it is my mouth	train
i need your advice	necesito tu consejo	necesito su consejo|necesito tu consejo	i need your advice	train
i want my lawyer	quiero a mi abogado	quiero a mi abogado	i want my lawyer	train
i changed my shirt	me cambié de camisa	me cambié de camisa	i changed my shirt	train
im tired thats all	solo estoy cansada	estoy cansado es todo|solo estoy cansada|solo estoy cansado	im tired thats all	train
it came to nothing	terminó en nada	terminó en nada	it came to nothing	train
finish your food	acaba tu comida	acaba tu comida	finish your food	train
im learning japanese	aprendo japonés	aprendo japonés	im learning japanese	train
this may soon change	esto podría cambiar pronto	esto podría cambiar pronto	this may soon change	train
youre my enemy	eres mi enemiga	eres mi enemiga|eres mi enemigo|es mi enemiga|es mi enemigo|sos mi enemiga|sos mi enemigo|tú eres mi enemiga|tú eres mi enemigo|usted es mi enemiga|usted es mi enemigo|vos sos mi enemiga|vos sos mi enemigo	youre my enemy	train
that is my dictionary	ése es mi diccionario	ése es mi diccionario	that is my dictionary|thats my dictionary	train
he just wants attention	él solo quiere atención	él solo quiere atención	he just wants attention	train
she doesnt seem happy	ella no parece feliz	ella no parece feliz	she doesnt seem happy	train
this is not expensive	esto no es caro	esto no es caro	this is not expensive	train
i believe tom	creo en tom	creo en tom	i believe tom	train
our teacher seemed surprised	nuestro profesor lucía sorprendido	nuestro profesor lucía sorprendido	our teacher seemed surprised	train
im still awake	todavía estoy despierto	todavía estoy despierto	im still awake	train
its business	son negocios	son negocios	its business	train
this is the best	esta es la mejor	esta es la mejor	this is the best	train
my mother is canadian	mi madre es canadiense	mi madre es canadiense	my mother is canadian	train
please sit here	siéntese aquí por favor	por favor siéntate aquí|por favor siéntense aquí|siéntese aquí por favor	please sit here	train
so im arrived	y así he llegado	y así he llegado	so im arrived	train
tom ate alone	tom comió solo	tom comió solo	tom ate alone	train
are we friends ?	¿ somos amigos ?	¿ somos amigas ?|¿ somos amigos ?	are we friends ?	train
it is really cheap	es muy barato	es muy barato	it is really cheap|its very cheap	train
you are impossible	¡ eres imposible !	¡ eres imposible !	you are impossible	train
you need patience	necesitas paciencia	necesitas paciencia	you need patience	train
they like apples	les gustan las manzanas	les gustan las manzanas	they like apples	train
this was my mistake	este fue mi error	este fue mi error	this was my mistake	train
yanni smells	yanni huele	yanni huele	yanni smells	train
no im tired	no estoy cansado	no estoy cansada|no estoy cansado	im not tired|no im tired	train
no one loves him	nadie le quiere	nadie le quiere	no one loves him	train
those books are mine	esos libros son míos	esos libros son míos|son mis libros	those books are mine	train
thats how it was	así es como fue	así es como era|así es como fue	thats how it was	train
you matter	usted importa	eres importante|usted importa	you matter	train
they were from australia	eran de australia	eran de australia	they were from australia	train
hey come here	oye venid aquí	oye ven aquí|oye venid aquí	hey come here	train
youre very pretty	eres muy guapa	eres muy guapa|eres muy linda	you are very beautiful|youre very pretty	train
i made that	yo hice eso	yo hice eso	i made that	train
nobody else can know	nadie más puede saber	nadie más puede saber	nobody else can know	train
i know his family	conozco a su familia	conozco a su familia	i know his family	train
everything is ok	todo está bien	todo está bien	all is well|everything is all right|everything is fine|everything is ok|everythings fine|its all ok|its all right	train
i have nothing	no tengo nada	no tengo nada	i have nothing	train
these are my books	éstos son mis libros	éstos son mis libros	these are my books	train
i only want one	sólo quiero uno	sólo quiero uno	i only want one	train
im getting happy	me estoy poniendo feliz	me estoy poniendo feliz	im getting happy	train
i needed that	yo necesitaba eso	yo necesitaba eso	i needed that	train
itll happen soon	pasará pronto	pasará pronto	itll happen soon	train
he sells fruit	él vende fruta	él vende fruta	he sells fruit	train
lets go this way	vayamos por aquí	vayamos por aquí	lets go this way	train
you were nice	eras simpático	eras simpático	you were nice	train
probably	probablemente	probablemente	probably	train
youre a good mother	eres una buena madre	eres una buena madre	youre a good mother	train
the computer is new	el ordenador es nuevo	el ordenador es nuevo	the computer is new	train
i brought you flowers	te traje flores	te traje flores	i brought you flowers	train
were better	somos mejores	estamos mejor|somos mejores	were better	train
i was pregnant	estaba embarazada	estaba embarazada	i was pregnant|she was pregnant	train
no im not sleepy	no no tengo sueño	no no tengo sueño	no im not sleepy	train
i was naked	estaba desnudo	estaba desnudo	i was naked	train
hes probably sleeping	probablemente esté durmiendo	probablemente estará durmiendo|probablemente esté durmiendo	hes probably sleeping	train
were both rich	los dos somos ricos	los dos somos ricos	were both rich	train
i dont remember you	no te recuerdo	no te recuerdo	i dont remember you	train
i dont know him	no lo conozco	no le conozco|no lo conozco	i dont know him	train
he looked back	él miró hacia atrás	él miró hacia atrás	he looked back	train
they work for me	ellos trabajan para mí	ellos trabajan para mí|trabajan para mí	they work for me	train
the umbrella is broken	el paraguas está roto	el paraguas está roto	the umbrella is broken	train
i cant leave boston	no puedo dejar boston	no puedo dejar boston	i cant leave boston	train
youre a kind man	eres un hombre amable	eres un hombre amable	youre a kind man	train
i dont speak chinese	no hablo chino	no hablo chino	i dont speak chinese	train
may i go ?	¿ puedo ir ?	¿ puedo ir ?	can i come ?|may i go ?	train
it isnt easy	no es fácil	no es fácil|no está fácil	it isnt easy|its not easy	train
thanks for the advice	gracias por el consejo	gracias por el consejo	thanks for the advice	train
hes looking at me	él me está mirando	él me está mirando	hes looking at me	train
love is possible	el amor es posible	el amor es posible	love is possible	train
i dont have money	no tengo un duro	estoy sin un duro|no tengo dinero|no tengo plata|no tengo un duro	i dont have money|i have no money	train
just make this stop	haz que pare	haz que pare	just make this stop	train
pay attention to them	presta atención a ellos	presta atención a ellos	pay attention to them	train
not everyone is happy	no todos están felices	no todos están felices	not everyone is happy	train
ive made tea	he preparado té	he preparado té	ive made tea	train
i need another chance	necesito otra oportunidad	necesito otra oportunidad	i need another chance	train
wait a minute	espera un minuto	espera un minuto	hold on a minute|hold on a second|wait a minute	train
it was my idea	era idea mía	era idea mía|eso fue idea mía	it was my idea	train
ill do it	lo haré	lo haré|lo haré yo	i will do it|ill do it	train
i was only joking	solo estaba bromeando	solo estaba bromeando	i was just joking|i was only joking	train
thats beautiful	eso es hermoso	eso es hermoso	that is beautiful|thats beautiful	train
i soon forgot it	la olvidé pronto	la olvidé pronto	i soon forgot it	train
i dont understand you	no os entiendo	no le entiendo|no os entiendo|no te entiendo	i dont understand you	train
i have two cars	tengo dos coches	tengo dos coches	i have two cars	train
hes all right	él está bien	está bien|él está bien	hes all right	train
its here	está aquí	está aquí	its here	train
we agree	estamos de acuerdo	estamos de acuerdo	we agree	train
that isnt tom	ese no es tom	ese no es tom	that isnt tom|thats not tom	train
i want money	quiero dinero	quiero dinero	i want money	train
he wears glasses	él lleva puesto lentes	él lleva gafas|él lleva puesto lentes|él usa lentes	he is wearing glasses|he wears glasses	train
you are a doctor	usted es un médico	eres un doctor|eres un médico|usted es un médico	you are a doctor	train
im having dinner now	estoy cenando ahora	estoy cenando ahora	i have dinner now|im eating dinner now|im having dinner now	train
youre still here	todavía estás aquí	todavía estás aquí	youre still here	train
tom might be right	tom podría tener razón	tom podría tener razón	tom might be right	train
put your hat on	ponte el sombrero	ponte el sombrero	put your hat on	train
they know you	te conocen	a usted le conocen|a ustedes les conocen|os conocen|te conocen	they know you	train
i speak	hablo	hablo	i speak	train
come over here tom	ven aquí cerca tom	ven aquí cerca tom	come over here tom	train
its white	es blanco	es blanco	its white	train
hi tom !	¡ hola tom !	¡ hola tom !	hello tom|hello tom !|hi tom|hi tom !	train
its too difficult	es demasiado difícil	es demasiado difícil	its too difficult	train
we live here	vivimos aquí	vivimos aquí|éste es nuestro hogar	we live here	train
my father is tall	mi padre es alto	mi padre es alto	my father is tall	train
ask for her	pregunta por ella	pregunta por ella	ask for her	train
they didnt see us	no nos vieron	no nos vieron	they didnt see us	train
you shouldnt be drinking	no deberías beber	no deberías beber	you shouldnt be drinking	train
are you american ?	¿ eres estadounidense ?	¿ eres estadounidense ?	are you american ?	train
tom drinks coffee	tom bebe café	tom bebe café	tom drinks coffee	train
you sound mad	pareces loco	pareces loco	you sound mad	train
what happened ?	¿ qué ocurrió ?	¿ qué ocurrió ?|¿ qué pasó ?|¿ qué sucedió ?	what happened ?|whats happened ?	train
he hates his life	odia su vida	odia su vida	he hates his life	train
tom wants much more	tom quiere mucho más	tom quiere mucho más	tom wants much more	train
i am tall	soy alto	soy alto	i am tall|im tall	train
he was always different	él siempre fue diferente	él siempre fue diferente	he was always different	train
time stopped	el tiempo se paró	el tiempo se paró	time stopped	train
this is a law	esta es una ley	esta es una ley	this is a law	train
the house is big	la casa es grande	la casa es grande	the house is big	train
im ready for anything	estoy preparado para todo	estoy preparado para todo	im ready for anything	train
hes very sweet	es muy dulce	es muy dulce	hes very sweet|its very sweet	train
ill sue you	le voy a demandar	le voy a demandar	i will sue you|ill sue you	train
tom fell	tom se cayó	tom se cayó	tom fell|tom fell down	train
speak slowly please	hable despacio por favor	habla despacio por favor|hable despacio por favor	speak slowly please	train
she likes to run	le gusta correr	le gusta correr	he likes to run|she likes to run	train
weve got a question	tenemos una pregunta	tenemos una pregunta	we have a question|weve got a question	train
tom felt hungry	tom se sintió hambriento	tom se sintió hambriento	tom felt hungry	train
christmas is coming	pronto será navidad	pronto será navidad	christmas is coming|christmas is soon	train
i love my job	me encanta mi trabajo	me encanta mi trabajo	i love my job	train
he has changed	ha cambiado	ha cambiado	he has changed	train
do that for me	haz eso por mí	haz eso por mí	do that for me	train
we cant see anything	no podemos ver nada	no podemos ver nada	we cant see anything	train
tom is eating cake	tomás está comiendo torta	tomás está comiendo torta	tom is eating cake	train
tom lied	tom mintió	tom mintió	tom lied	train
yanni is not here	yanni no está aquí	yanni no está aquí	yanni is not here	train
that just sounds stupid	eso suena bastante tonto	eso suena bastante tonto	that just sounds stupid	train
i do hope so	eso espero	eso espero|espero que sí	i do hope so|i hope so	train
i brought a book	traje un libro	traje un libro	i brought a book	train
is this new ?	¿ es nuevo ?	¿ es nuevo ?	is it new ?|is this new ?	train
he has stopped smoking	él dejó de fumar	él dejó de fumar	he has stopped smoking|he stopped smoking	train
it wasnt that hard	no fue tan duro	no fue tan difícil|no fue tan duro	it wasnt that hard	train
you didnt say anything	no dijiste nada	no dijiste nada	you didnt say anything|you said nothing	train
im exhausted	estoy exhausto	estoy exhausto	i am exhausted|im exhausted	train
they despise you	ellos te desprecian	ellos te desprecian	they despise you	train
is that ok ?	¿ vale eso ?	¿ vale eso ?	is that ok ?	train
i was feeling blue	estaba deprimido	estaba deprimido	i was feeling blue	train
no it isnt possible	no no es posible	no no es posible	no it isnt possible	train
eat more slowly	come más despacio	come más despacio|come más lentamente	eat more slowly	train
tom got lost	tom se perdió	tom se perdió	tom got lost	train
theres our car	ahí está nuestro coche	ahí está nuestro coche	theres our car	train
they know us	ellos nos conocen	ellos nos conocen	they know us	train
she is always scared	siempre está asustado	siempre está asustado	she is always scared	train
i want some money	quiero algo de dinero	quiero algo de dinero	i want some money	train
come quickly !	¡ ven rápido !	¡ ven rápido !	come quickly !	train
these are new	estos son nuevos	estos son nuevos	these are new	train
